round,loss,accuracy,precision,recall,specificity,f1_score,roc_auc,mcc,cohens_kappa
1,0.5212176590144635,0.7466902930476689,0.7629403096023684,0.9153552778266737,0.3775894538606403,0.832226985868508,0.7681934709667454,0.3564922991077189,0.33240139757322906
2,0.5161062313303352,0.7471118091632771,0.7652257621505475,0.9110719943671889,0.38830679678137303,0.8318042048948776,0.7691547414926514,0.35936623795435535,0.3376123218164083
3,0.5165394344061613,0.747122548427369,0.7629550007328871,0.916235404564924,0.3770416024653313,0.8325993068515063,0.7692419304278539,0.35751522665548013,0.3330322579055527
4,0.5141388244017959,0.7473480729732995,0.7634058290041384,0.9156838584756205,0.3789676425269646,0.8326397336577246,0.7698997833340229,0.3584045236990843,0.33427017022803607
5,0.5128096238821744,0.7478206005933443,0.766839480831488,0.908955778520996,0.39519774011299436,0.8318715229796587,0.7699916319400089,0.36234409695673886,0.341790997503606
6,0.511856030587107,0.7479843743707463,0.7640376818974128,0.9155899782902072,0.38120184899845916,0.8329765711326889,0.770302613586819,0.3603964872983955,0.33644545175673946
7,0.5129389010295272,0.7477883828010685,0.7640107494930563,0.915237927594907,0.38134737202533814,0.8328148469812704,0.7707654982543475,0.35991746593523766,0.3361165716233995
8,0.512206417695433,0.7487925039936638,0.7654708828664742,0.9140526902540632,0.38714261256634136,0.833189519924694,0.7715789671410946,0.3634187615894346,0.3404621756595756
9,0.5092528146736324,0.7485374464714806,0.7650417891106152,0.9144829744372078,0.38538777606574215,0.8331138737088558,0.7715829530174254,0.36248463475425,0.33924569708928
10,0.5106865989871323,0.7488891573704912,0.7656865090941273,0.9137710496978232,0.38806711179592535,0.8332001740581954,0.7714930809923635,0.3638149073921567,0.3410275693513307
11,0.5101115851134062,0.7491146819164217,0.7690465211174623,0.9067887109077041,0.40406608457455917,0.8322568832371768,0.7723837286848444,0.36712368553481645,0.34787683746237075
12,0.5089697387196124,0.7494502839192945,0.7684070585745277,0.9088931917307204,0.4005307310392056,0.8327667558496064,0.7725637829533161,0.3673259336865704,0.3471342268374056
13,0.5083495938450098,0.7495603613762367,0.769311151287963,0.907136849928612,0.40472521828454033,0.8325584734962035,0.7733133084032902,0.368337071488767,0.34901496762471573
14,0.5080995352655648,0.7492623467976857,0.76691956912265,0.9117956541297503,0.3935798664612224,0.833106080778008,0.7731340952687059,0.365668973296797,0.343986294408681
15,0.5078648791901766,0.7497429288657995,0.7689421660016226,0.9083259989438479,0.4027050162643383,0.8328425658590822,0.7735394963876263,0.36843028067195865,0.3485745235061185
16,0.5063936680965127,0.7495925791685125,0.7683695562350219,0.909272624146766,0.4001540832049307,0.8329039539925113,0.7731268611824276,0.367613625188135,0.3472650260842278
17,0.5080406192049385,0.7495818399044205,0.7691833304045385,0.9074615189031665,0.4040832049306626,0.8326203055013208,0.772962622407541,0.3682757492706522,0.34880316870685535
18,0.5058829521857202,0.7502825768864189,0.7671333679362431,0.913454204072053,0.39320321862694746,0.8339240533451417,0.7740859070900183,0.3681809786733574,0.34585404505011386
19,0.5073377247057855,0.7497993100022821,0.7641717456208249,0.9191104852432084,0.37928436911487756,0.8345104000369369,0.7740503417426196,0.3647945269170598,0.3392673968271833
20,0.5058100771665573,0.7502423046460741,0.7671166272992178,0.9134072639793464,0.3931775380927923,0.8338946007620857,0.7735477420612975,0.36807489406900273,0.34576398486299176
21,0.5064269403114915,0.7498986481951324,0.7691237507825724,0.9082516771303957,0.40336414997431946,0.8329178130840451,0.7730387185045293,0.3689305297114546,0.349142619048845
22,0.505199241195619,0.7502772072543729,0.7683058811107591,0.9108412055780477,0.398904297209382,0.8335239486179944,0.7743248718210902,0.36910635523422963,0.3481195146087408
23,0.5048349954523146,0.7500221497321896,0.7692356111830749,0.9082634121535723,0.4037322376305427,0.8329883370942108,0.773700941154819,0.3693000475685412,0.3495317730579661
24,0.5054438778318465,0.7499791926758219,0.7682741225680998,0.9102896594887442,0.39916110255093307,0.8332742513597806,0.7737341876079287,0.36840556529322027,0.3476329758763782
25,0.5049358841717243,0.7499818774918449,0.7661642166496344,0.914991492108197,0.38888032871083716,0.8339902557986555,0.7740892838976847,0.3667269753088551,0.3435210249424283
26,0.5051719145394863,0.7503147946786947,0.7696457465715271,0.9079739482485478,0.40529875021400447,0.8331069186001647,0.7743385210935534,0.37029639463401764,0.35072775696161307
27,0.5048936975002289,0.750564482568832,0.767676036646545,0.9128361595180817,0.39545454545454545,0.8339867412397477,0.7744409014693052,0.369257844708081,0.3473128035094538
28,0.5032847779981792,0.7503282187588095,0.7663100606132053,0.9153904828962037,0.3891114535182332,0.8342423853524983,0.7743439996309458,0.36764763621069224,0.3443012074195523
29,0.5036810889191925,0.7503470124709705,0.7680975487545986,0.9114475151088424,0.3978000342407122,0.8336550381841893,0.7743032718912821,0.3690964942563616,0.3478179042247812
30,0.5022391643598676,0.7502396198300512,0.7654554358472087,0.917127266326351,0.3850282485875706,0.8344553292582014,0.7745116236516255,0.3667922248189578,0.3424770413012115
31,0.502671126087755,0.7501322271891319,0.7659353817163496,0.9158207670793483,0.38754494093477143,0.8341988573301717,0.7740090842258938,0.3669023009645352,0.34328080215858203
32,0.5024262532949448,0.7501939779576604,0.7665738746094044,0.9145181795067379,0.3905923643211779,0.8340361166406245,0.7742254233594781,0.36753836552912084,0.3446307033102879
33,0.5016527767248451,0.7503201643107406,0.7698476955237747,0.9075436640654032,0.40625749015579526,0.8330439934292613,0.7744302600206362,0.370477852708599,0.3511165638437347
34,0.5021706252850592,0.7503309035748326,0.7706518194101477,0.9058147039840404,0.410075329566855,0.8327845977627413,0.7743869799988172,0.37118376665668296,0.3526394666678756
35,0.5023118046246469,0.750266467990281,0.7691589651245928,0.908940131823427,0.403030303030303,0.8332278498034061,0.7744559168309314,0.36978258267838604,0.349735745533302
36,0.5018776414379478,0.750253043910166,0.7692086121328703,0.9088032232196992,0.4032871083718541,0.8331994462814066,0.7742426459106702,0.36979373069532745,0.3498109106161642
37,0.5015288682863116,0.7502342501980052,0.7694727073873994,0.9081851786657279,0.40457969525766135,0.8330944157882934,0.773961531665833,0.36997195071029493,0.3502850023750216
38,0.5005091277427971,0.750416817687568,0.7693871873675286,0.9087523714526002,0.4039205615476802,0.8332828189534736,0.7740341294561777,0.3703087623686939,0.35038451313185404
39,0.5005740705147386,0.750411448055522,0.7707774352692095,0.9057090887754503,0.4105632597158021,0.8328132896196877,0.7740343972327579,0.37146828066181725,0.3529893245327196
40,0.5014980139642955,0.7505430040406481,0.770196091453999,0.9072463768115943,0.4076185584660161,0.833122597794461,0.7738071107349315,0.3712656942211818,0.3520916627372711
41,0.5006844025343657,0.7502127716698214,0.7733330195593269,0.899806372117585,0.42284711521999657,0.831789607285495,0.7733509156768669,0.3732855955601413,0.35738195151607366
42,0.4986624542184174,0.7500758460526492,0.7715265969352473,0.903393377535254,0.4145608628659476,0.8322690383866922,0.7736250400388269,0.3713849607713112,0.3538942779526443
43,0.5004562723845243,0.7501671297974306,0.7709551949285579,0.9048172270140233,0.41173600410888544,0.832539708248302,0.7735948148368477,0.3710857286986636,0.35296861100194354
44,0.5015428318083286,0.7503362732068785,0.7674139495732004,0.9129417747266717,0.39449580551275465,0.8338761167553044,0.7735869965609846,0.36852605157190954,0.3464777993737853
45,0.4994416626840829,0.7497832011061442,0.7695677570093458,0.9070390580688064,0.4056497175141243,0.832667512931878,0.7732660556980846,0.36904958592521364,0.3498191419239164
46,0.4990796388596297,0.7497482984978454,0.7697064087961133,0.9066635373271529,0.4063602122924157,0.8325903681539141,0.7728882767697749,0.3690907541153593,0.35003097276347983
47,0.4976402004741132,0.7498744848509256,0.7695740755488306,0.9072150834164564,0.40555555555555556,0.8327453757811757,0.7727685903321657,0.3692572440409412,0.34996168546233486
48,0.4985112994149327,0.7495979488005584,0.7703442006666245,0.9049619589665356,0.4096045197740113,0.8322445338187364,0.7723107017220063,0.3693109291251666,0.3510134813710637
49,0.49832498732432723,0.7494261205750876,0.7723671095509295,0.9002444796495139,0.4193802431090567,0.8314174445825265,0.7723243127382806,0.3707404478954249,0.3544990185071587
50,0.49855374131724234,0.7497268199696616,0.7715089980910608,0.9027088345166149,0.4149460708782743,0.8319681882746537,0.7724009704059867,0.37061466630536793,0.35335999823330966
51,0.497287692990154,0.7496892325453398,0.7685497819034423,0.9090770404271549,0.40089025851737714,0.8329277427540257,0.7717020309053819,0.3679810760023679,0.3477483594843258
52,0.496759234368056,0.7495818399044205,0.7693047663591703,0.9071955250444953,0.4046652970381784,0.8325794454256954,0.7722926799596828,0.36837922071826135,0.3490335465560095
53,0.4963862402781844,0.7494395446552025,0.7689483311683147,0.907680572669131,0.40315014552302686,0.8325747695156015,0.7723793181731875,0.36775966874565386,0.3481532582692729
54,0.4966343633912504,0.7492891949579155,0.7695827269283678,0.9059789943085138,0.4063944530046225,0.8322293069157508,0.7712634105061287,0.3679720881780158,0.34914135831828996
55,0.49621031145304445,0.7492328138214329,0.7718047946926673,0.901050284574312,0.4170005136106831,0.8314347590687602,0.7716725834341447,0.36981890699428793,0.35319403595256216
56,0.49527982297167183,0.7490797793081229,0.7701515111134801,0.904304797668642,0.4093905153227187,0.8318541400918641,0.7710830422020613,0.3680113310114303,0.34991160430640367
57,0.4948820214517415,0.7492757708778006,0.7717314487632508,0.9012967200610221,0.41659818524225306,0.8314970859421519,0.771122612545514,0.36984449052315177,0.353121174995772
58,0.4954289192944765,0.7489535929550427,0.7714286670885271,0.9012810733634532,0.41560520458825545,0.8313146510511941,0.7706975744494652,0.36888154325716416,0.35210259531598675
59,0.4936971402712166,0.7488891573704912,0.7720643764579522,0.8997829020712316,0.418678308508817,0.8310451967195347,0.7709074927212201,0.3693239493264863,0.353175779714484
60,0.4943652700796723,0.7491925415810882,0.7720157212035037,0.9005143851825774,0.4180448553329909,0.8313288470878826,0.7708167014928575,0.36992421833881484,0.35352233015176626
